"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-DHRDHE","By4743-H2O20.0-DHRDHE",0.0554717665020958,0.0572919827518012,0.161892036595513,0.148936561282947,0
"By4743-H2O20.025-DHRDHE","By4743-H2O20.025-DHRDHE",0.0547855998919444,0.0608146790258947,0.206251719974313,0.182823036340603,0.025
"By4743-H2O20.05-DHRDHE","By4743-H2O20.05-DHRDHE",0.0568615401558585,0.0623218651875378,0.214429489219626,0.1930108633752,0.05
"By4743-H2O20.075-DHRDHE","By4743-H2O20.075-DHRDHE",0.0544420165231255,0.0601325855166611,0.237658244703004,0.199418466894328,0.075
"By4743-H2O20.1-DHRDHE","By4743-H2O20.1-DHRDHE",0.055910223634707,0.0614469596826784,0.239434594194721,0.206939455852958,0.1
"By4743-H2O20.2-DHRDHE","By4743-H2O20.2-DHRDHE",0.0574360620710585,0.0620985508697473,0.296180284182115,0.227369050672962,0.2
