"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-ONDHR","By4743-H2O20.0-ONDHR",0.0639570648229283,0.0558974514475373,0.175486663928582,0.382951417799855,0
"By4743-H2O20.025-ONDHR","By4743-H2O20.025-ONDHR",0.0648338348183241,0.0573843491708689,0.18990509241921,0.380380366319987,0.025
"By4743-H2O20.05-ONDHR","By4743-H2O20.05-ONDHR",0.0632375432716565,0.0591288842605475,0.197757184151162,0.378129286506614,0.05
"By4743-H2O20.075-ONDHR","By4743-H2O20.075-ONDHR",0.0633475080274961,0.0607087281397241,0.188920599703331,0.385187033502236,0.075
"By4743-H2O20.1-ONDHR","By4743-H2O20.1-ONDHR",0.0625771764432776,0.0584213316775856,0.190817453354838,0.391209690103083,0.1
"By4743-H2O20.2-ONDHR","By4743-H2O20.2-ONDHR",0.0654389833023654,0.0591153503686517,0.199930191277121,0.390189252840652,0.2
