"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-ONDHR","By4743-H2O20.0-ONDHR",7.71197632673188,8.02201806507785,8.0847972641377,1.74304018068537,0
"By4743-H2O20.025-ONDHR","By4743-H2O20.025-ONDHR",7.64461912910438,7.96541964603261,7.93003837309473,1.8284296184199,0.025
"By4743-H2O20.05-ONDHR","By4743-H2O20.05-ONDHR",7.65990396133132,7.93978685439821,7.90196170371956,1.88701272539814,0.05
"By4743-H2O20.075-ONDHR","By4743-H2O20.075-ONDHR",7.6406010683329,7.91877837371813,8.11555963148783,1.83751316411243,0.075
"By4743-H2O20.1-ONDHR","By4743-H2O20.1-ONDHR",7.65997908005485,7.94145525086667,8.14381744957434,1.83326123854604,0.1
"By4743-H2O20.2-ONDHR","By4743-H2O20.2-ONDHR",7.62775649976471,7.91057255108831,8.32319408213786,1.90533421230949,0.2
